GO_ID	ClusterID	ClusterName
GO:0005816	0	Membrane & Organelle
GO:0005819	0	Membrane & Organelle
GO:0005829	0	Membrane & Organelle
GO:0005832	2	Nuclear Enzyme Complexes
GO:0005834	3	Membrane Transport & Vesicle
GO:0005838	1	Gene-Expression Complexes
GO:0005839	2	Nuclear Enzyme Complexes
GO:0005840	0	Membrane & Organelle
GO:0005846	2	Nuclear Enzyme Complexes
GO:0005847	1	Gene-Expression Complexes
GO:0005848	1	Gene-Expression Complexes
GO:0005849	1	Gene-Expression Complexes
GO:0005850	1	Gene-Expression Complexes
GO:0005851	1	Gene-Expression Complexes
GO:0005852	1	Gene-Expression Complexes
GO:0005853	1	Gene-Expression Complexes
GO:0005854	1	Gene-Expression Complexes
GO:0005856	0	Membrane & Organelle
GO:0005858	2	Nuclear Enzyme Complexes
GO:0005868	2	Nuclear Enzyme Complexes
GO:0005869	1	Gene-Expression Complexes
GO:0005871	1	Gene-Expression Complexes
GO:0005874	0	Membrane & Organelle
GO:0005875	1	Gene-Expression Complexes
GO:0005876	0	Membrane & Organelle
GO:0005880	0	Membrane & Organelle
GO:0005881	0	Membrane & Organelle
GO:0005883	0	Membrane & Organelle
GO:0005884	0	Membrane & Organelle
GO:0005885	1	Gene-Expression Complexes
GO:0005886	0	Membrane & Organelle
GO:0005887	0	Membrane & Organelle
GO:0005892	3	Membrane Transport & Vesicle
GO:0005923	0	Membrane & Organelle
GO:0005929	0	Membrane & Organelle
GO:0005930	0	Membrane & Organelle
GO:0005938	0	Membrane & Organelle
GO:0005945	2	Nuclear Enzyme Complexes
GO:0005952	2	Nuclear Enzyme Complexes
GO:0005953	2	Nuclear Enzyme Complexes
GO:0005955	2	Nuclear Enzyme Complexes
GO:0005956	2	Nuclear Enzyme Complexes
GO:0005960	2	Nuclear Enzyme Complexes
GO:0005965	2	Nuclear Enzyme Complexes
GO:0005968	2	Nuclear Enzyme Complexes
GO:0005971	2	Nuclear Enzyme Complexes
GO:0008023	1	Gene-Expression Complexes
GO:0008076	3	Membrane Transport & Vesicle
GO:0008250	2	Nuclear Enzyme Complexes
GO:0008274	1	Gene-Expression Complexes
GO:0008275	1	Gene-Expression Complexes
GO:0008278	1	Gene-Expression Complexes
GO:0008287	2	Nuclear Enzyme Complexes
GO:0008290	1	Gene-Expression Complexes
GO:0008537	1	Gene-Expression Complexes
GO:0008540	1	Gene-Expression Complexes
GO:0008541	1	Gene-Expression Complexes
GO:0008622	2	Nuclear Enzyme Complexes
GO:0008623	2	Nuclear Enzyme Complexes
GO:0009288	0	Membrane & Organelle
GO:0009295	0	Membrane & Organelle
GO:0009317	2	Nuclear Enzyme Complexes
GO:0009328	2	Nuclear Enzyme Complexes
GO:0009330	2	Nuclear Enzyme Complexes
GO:0009331	2	Nuclear Enzyme Complexes
GO:0009347	2	Nuclear Enzyme Complexes
GO:0009361	2	Nuclear Enzyme Complexes
GO:0009368	2	Nuclear Enzyme Complexes
GO:0009376	2	Nuclear Enzyme Complexes
GO:0009507	0	Membrane & Organelle
GO:0009527	0	Membrane & Organelle
GO:0009528	0	Membrane & Organelle
GO:0009536	0	Membrane & Organelle
GO:0009579	0	Membrane & Organelle
GO:0009897	0	Membrane & Organelle
GO:0009898	0	Membrane & Organelle
GO:0009986	0	Membrane & Organelle
GO:0010008	0	Membrane & Organelle
GO:0010494	0	Membrane & Organelle
GO:0012505	0	Membrane & Organelle
GO:0012507	0	Membrane & Organelle
GO:0012511	0	Membrane & Organelle
GO:0015030	0	Membrane & Organelle
GO:0015629	0	Membrane & Organelle
GO:0015630	0	Membrane & Organelle
GO:0015934	1	Gene-Expression Complexes
GO:0015935	1	Gene-Expression Complexes
GO:0016020	0	Membrane & Organelle
GO:0016021	0	Membrane & Organelle
GO:0016035	2	Nuclear Enzyme Complexes
GO:0016234	0	Membrane & Organelle
GO:0016272	1	Gene-Expression Complexes
GO:0016281	2	Nuclear Enzyme Complexes
GO:0016282	1	Gene-Expression Complexes
GO:0016363	0	Membrane & Organelle
GO:0016442	1	Gene-Expression Complexes
GO:0016459	1	Gene-Expression Complexes
GO:0016469	3	Membrane Transport & Vesicle
GO:0016471	3	Membrane Transport & Vesicle
GO:0016514	2	Nuclear Enzyme Complexes
GO:0016591	2	Nuclear Enzyme Complexes
GO:0016592	1	Gene-Expression Complexes
GO:0016593	1	Gene-Expression Complexes
GO:0016602	1	Gene-Expression Complexes
GO:0016604	0	Membrane & Organelle
GO:0016607	0	Membrane & Organelle
GO:0017059	2	Nuclear Enzyme Complexes
GO:0017087	2	Nuclear Enzyme Complexes
GO:0017101	2	Nuclear Enzyme Complexes
GO:0017119	1	Gene-Expression Complexes
GO:0018444	1	Gene-Expression Complexes
GO:0019005	2	Nuclear Enzyme Complexes
GO:0019185	1	Gene-Expression Complexes
GO:0019773	1	Gene-Expression Complexes
GO:0019774	1	Gene-Expression Complexes
GO:0019867	0	Membrane & Organelle
GO:0019898	0	Membrane & Organelle
GO:0019908	2	Nuclear Enzyme Complexes
GO:0020002	0	Membrane & Organelle
GO:0020003	0	Membrane & Organelle
GO:0020004	0	Membrane & Organelle
GO:0020005	0	Membrane & Organelle
GO:0020006	0	Membrane & Organelle
GO:0020007	0	Membrane & Organelle
GO:0020008	0	Membrane & Organelle
GO:0020009	0	Membrane & Organelle
GO:0020011	0	Membrane & Organelle
GO:0020020	0	Membrane & Organelle
GO:0020025	0	Membrane & Organelle
GO:0020026	0	Membrane & Organelle
GO:0020030	0	Membrane & Organelle
GO:0020031	0	Membrane & Organelle
GO:0020036	0	Membrane & Organelle
GO:0020038	0	Membrane & Organelle
GO:0020039	0	Membrane & Organelle
GO:0022625	1	Gene-Expression Complexes
GO:0022626	0	Membrane & Organelle
GO:0022627	1	Gene-Expression Complexes
GO:0030008	2	Nuclear Enzyme Complexes
GO:0030014	2	Nuclear Enzyme Complexes
GO:0030015	2	Nuclear Enzyme Complexes
GO:0030054	0	Membrane & Organelle
GO:0030117	3	Membrane Transport & Vesicle
GO:0030119	3	Membrane Transport & Vesicle
GO:0030121	3	Membrane Transport & Vesicle
GO:0030122	3	Membrane Transport & Vesicle
GO:0030123	3	Membrane Transport & Vesicle
GO:0030124	3	Membrane Transport & Vesicle
GO:0030125	3	Membrane Transport & Vesicle
GO:0030126	3	Membrane Transport & Vesicle
GO:0030127	3	Membrane Transport & Vesicle
GO:0030128	3	Membrane Transport & Vesicle
GO:0030130	3	Membrane Transport & Vesicle
GO:0030131	3	Membrane Transport & Vesicle
GO:0030132	3	Membrane Transport & Vesicle
GO:0030133	0	Membrane & Organelle
GO:0030134	0	Membrane & Organelle
GO:0030135	0	Membrane & Organelle
GO:0030137	0	Membrane & Organelle
GO:0030139	0	Membrane & Organelle
GO:0030140	0	Membrane & Organelle
GO:0030141	0	Membrane & Organelle
GO:0030286	2	Nuclear Enzyme Complexes
GO:0030430	0	Membrane & Organelle
GO:0030532	1	Gene-Expression Complexes
GO:0030663	0	Membrane & Organelle
GO:0030677	2	Nuclear Enzyme Complexes
GO:0030686	1	Gene-Expression Complexes
GO:0030687	1	Gene-Expression Complexes
GO:0030688	1	Gene-Expression Complexes
GO:0030690	1	Gene-Expression Complexes
GO:0030691	1	Gene-Expression Complexes
GO:0030692	1	Gene-Expression Complexes
GO:0030864	0	Membrane & Organelle
GO:0030870	1	Gene-Expression Complexes
GO:0030880	2	Nuclear Enzyme Complexes
GO:0030896	1	Gene-Expression Complexes
GO:0030897	3	Membrane Transport & Vesicle
GO:0030904	3	Membrane Transport & Vesicle
GO:0030906	3	Membrane Transport & Vesicle
GO:0030915	2	Nuclear Enzyme Complexes
GO:0030956	2	Nuclear Enzyme Complexes
GO:0031011	2	Nuclear Enzyme Complexes
GO:0031012	0	Membrane & Organelle
GO:0031021	0	Membrane & Organelle
GO:0031080	1	Gene-Expression Complexes
GO:0031201	3	Membrane Transport & Vesicle
GO:0031205	3	Membrane Transport & Vesicle
GO:0031207	3	Membrane Transport & Vesicle
GO:0031211	2	Nuclear Enzyme Complexes
GO:0031244	0	Membrane & Organelle
GO:0031262	1	Gene-Expression Complexes
GO:0031298	1	Gene-Expression Complexes
GO:0031314	0	Membrane & Organelle
GO:0031390	1	Gene-Expression Complexes
GO:0031410	0	Membrane & Organelle
GO:0031415	2	Nuclear Enzyme Complexes
GO:0031416	2	Nuclear Enzyme Complexes
GO:0031417	2	Nuclear Enzyme Complexes
GO:0031428	1	Gene-Expression Complexes
GO:0031429	1	Gene-Expression Complexes
GO:0031461	2	Nuclear Enzyme Complexes
GO:0031464	2	Nuclear Enzyme Complexes
GO:0031499	1	Gene-Expression Complexes
GO:0031501	2	Nuclear Enzyme Complexes
GO:0031510	2	Nuclear Enzyme Complexes
GO:0031514	0	Membrane & Organelle
GO:0031515	2	Nuclear Enzyme Complexes
GO:0031595	2	Nuclear Enzyme Complexes
GO:0031597	2	Nuclear Enzyme Complexes
GO:0031616	0	Membrane & Organelle
GO:0031902	0	Membrane & Organelle
GO:0031910	0	Membrane & Organelle
GO:0031931	2	Nuclear Enzyme Complexes
GO:0031932	2	Nuclear Enzyme Complexes
GO:0031941	1	Gene-Expression Complexes
GO:0031965	0	Membrane & Organelle
GO:0031981	0	Membrane & Organelle
GO:0031982	0	Membrane & Organelle
GO:0032021	1	Gene-Expression Complexes
GO:0032039	1	Gene-Expression Complexes
GO:0032040	1	Gene-Expression Complexes
